"","x"
"pathogen_load",2183.92792784728
"scent_load",2686.89277141162
"dir_move",8364.10767684241
"scent_decay",8624.98192684563
"inf_decay",18570.4562168838
"n.initial",22034.4233760871
"rec_rate",247581.54044386
